,age,job,marital,balance,PrepBy
40610,28,management,married,1240,Anan
40614,29,management,married,451,Anan
40643,27,management,single,6791,Anan
40671,29,management,single,74,Anan
40707,26,management,single,390,Anan
40720,26,management,single,0,Anan
40721,25,management,single,145,Anan
40826,29,management,single,630,Anan
40858,26,management,single,141,Anan
40926,25,management,single,2305,Anan
40930,26,management,single,1643,Anan
40963,26,management,single,-8,Anan
40996,29,management,married,30,Anan
40997,21,management,single,691,Anan
41077,25,management,single,528,Anan
41112,26,management,single,948,Anan
41122,26,management,single,828,Anan
41126,26,management,single,2506,Anan
41163,26,management,single,3704,Anan
41172,29,management,single,2531,Anan
41233,27,management,single,377,Anan
41245,29,management,single,265,Anan
41282,28,management,single,730,Anan
41306,28,management,single,223,Anan
41329,28,management,single,4985,Anan
41337,28,management,single,207,Anan
41381,26,management,single,200,Anan
41435,26,management,single,9447,Anan
41467,25,management,single,490,Anan
41474,25,management,single,89,Anan
41493,26,management,single,1094,Anan
41495,28,management,single,1633,Anan
41565,28,management,married,3,Anan
41568,28,management,single,2380,Anan
41585,26,management,single,362,Anan
41590,29,management,single,345,Anan
41591,29,management,single,874,Anan
41602,25,management,single,553,Anan
41605,26,management,single,1646,Anan
41606,25,management,single,808,Anan
41617,27,management,single,20585,Anan
41673,25,management,single,2140,Anan
41681,28,management,single,6784,Anan
41687,26,management,single,170,Anan
41698,24,management,single,0,Anan
41713,29,management,single,417,Anan
41849,27,management,married,893,Anan
41877,26,management,single,1177,Anan
41911,28,management,single,80,Anan
42028,27,management,single,390,Anan
42037,25,management,single,667,Anan
42142,27,management,single,1720,Anan
42214,26,management,single,943,Anan
42235,29,management,single,1026,Anan
42409,29,management,single,1445,Anan
42455,27,management,single,1623,Anan
42473,28,management,single,1351,Anan
42499,29,management,single,572,Anan
42569,28,management,single,1840,Anan
42598,27,management,single,843,Anan
42601,27,management,single,8,Anan
42691,28,management,married,893,Anan
42704,28,management,single,3053,Anan
42776,29,management,single,187,Anan
42815,26,management,single,592,Anan
42888,28,management,single,5474,Anan
42900,29,management,single,308,Anan
42904,25,management,married,448,Anan
42916,27,management,single,145,Anan
42926,25,management,single,145,Anan
42942,28,management,single,266,Anan
42946,29,management,single,698,Anan
42959,27,management,single,390,Anan
43030,29,management,single,1026,Anan
43049,27,management,single,-69,Anan
43100,26,management,single,0,Anan
43253,28,management,single,1825,Anan
43259,29,management,single,2344,Anan
43260,28,management,single,187,Anan
43275,29,management,single,1351,Anan
43280,27,management,single,948,Anan
43313,29,management,single,874,Anan
43342,27,management,single,6791,Anan
43348,28,management,single,866,Anan
43355,26,management,single,1370,Anan
43390,26,management,single,3,Anan
43397,26,management,single,7628,Anan
43415,29,management,single,560,Anan
43442,26,management,single,1646,Anan
43443,29,management,single,502,Anan
43484,24,management,single,736,Anan
43490,22,management,single,104,Anan
43521,26,management,single,194,Anan
43542,26,management,single,222,Anan
43547,29,management,single,1445,Anan
43561,26,management,single,1438,Anan
43578,29,management,single,2955,Anan
43630,28,management,single,437,Anan
43636,27,management,single,145,Anan
43704,29,management,single,-27,Anan
43725,24,management,single,1,Anan
43809,26,management,single,531,Anan
43822,29,management,married,8103,Anan
43852,28,management,single,223,Anan
43892,28,management,single,187,Anan
43926,27,management,single,1720,Anan
43932,27,management,single,2786,Anan
43934,28,management,single,2725,Anan
43956,29,management,single,1431,Anan
43979,27,management,single,6791,Anan
44011,26,management,single,222,Anan
44083,29,management,single,560,Anan
44094,29,management,single,1808,Anan
44099,28,management,single,1414,Anan
44103,29,management,single,502,Anan
44118,29,management,single,966,Anan
44131,27,management,single,843,Anan
44134,25,management,single,380,Anan
44244,29,management,single,2344,Anan
44275,29,management,single,985,Anan
44285,27,management,single,102,Anan
44300,23,management,single,1807,Anan
44326,29,management,married,135,Anan
44341,29,management,single,0,Anan
44357,23,management,single,906,Anan
44400,29,management,married,198,Anan
44402,29,management,married,198,Anan
44436,29,management,single,437,Anan
44452,28,management,single,1530,Anan
44484,28,management,single,6791,Anan
44535,29,management,single,266,Anan
44541,28,management,single,-62,Anan
44574,29,management,single,1673,Anan
44605,23,management,single,377,Anan
44619,28,management,single,1584,Anan
44713,27,management,single,592,Anan
44719,28,management,single,890,Anan
44750,28,management,married,12,Anan
44763,28,management,single,187,Anan
44784,28,management,single,1720,Anan
44810,29,management,married,247,Anan
44839,26,management,single,1,Anan
44847,27,management,married,802,Anan
44856,26,management,single,1027,Anan
44857,25,management,single,3902,Anan
44877,28,management,single,6551,Anan
44898,24,management,single,393,Anan
44912,28,management,single,390,Anan
44915,27,management,single,1377,Anan
44942,26,management,single,1592,Anan
44946,28,management,single,616,Anan
45001,25,management,single,1650,Anan
45020,28,management,single,9710,Anan
45036,28,management,married,1918,Anan
45039,22,management,single,104,Anan
45041,29,management,single,600,Anan
45046,27,management,single,107,Anan
45113,26,management,single,222,Anan
45188,29,management,single,703,Anan
45192,29,management,single,765,Anan
